City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Weather
293,Longyearbyen,SJ,78.2186,15.6401,19.24,86,20,4.61,few clouds
294,Berdigestyakh,RU,62.0989,126.6992,30.2,93,100,4.65,overcast clouds
295,Tabou,CI,4.423,-7.3528,80.29,81,98,8.21,light rain
296,Natal,BR,-5.795,-35.2094,88.45,55,40,14.97,scattered clouds
297,Meadow Lake,US,34.8014,-106.5436,64.69,32,13,1.16,few clouds
298,Raymondville,US,26.4815,-97.7831,79.95,66,37,10.13,scattered clouds
299,Havoysund,NO,70.9963,24.6622,32.88,71,100,18.95,snow
300,Hokitika,NZ,-42.7167,170.9667,54.52,86,100,3.18,overcast clouds
301,Churapcha,RU,62.0025,132.4325,8.76,99,88,3.24,overcast clouds
302,Tondi,IN,9.7333,79.0167,82.99,74,4,10.65,clear sky
303,Vila Velha,BR,-20.3297,-40.2925,80.55,65,40,12.66,scattered clouds
304,Sao Mateus Do Sul,BR,-25.8742,-50.3828,72.43,49,100,5.93,moderate rain
305,Redmond,US,47.674,-122.1215,52.38,88,100,1.01,overcast clouds
306,Krynychky,UA,48.3755,34.467,55.54,55,95,8.61,overcast clouds
307,Jega,NG,12.2175,4.3792,92.57,41,100,9.42,overcast clouds
308,Oranjemund,NA,-28.55,16.4333,62.19,67,18,13.76,few clouds
309,Sao Joao Do Piaui,BR,-8.3581,-42.2467,91.98,41,92,3.91,moderate rain
310,Oktyabrskoye,RU,43.0645,44.7417,53.74,62,0,6.71,clear sky
311,Dongsheng,CN,39.8161,109.9776,43.27,64,10,8.28,clear sky
312,Kununurra,AU,-15.7667,128.7333,82.38,78,1,12.66,clear sky
313,Leningradskiy,RU,69.3833,178.4167,8.17,88,100,8.84,overcast clouds
314,Akniste,LV,56.1615,25.7478,42.15,80,98,10.74,overcast clouds
315,Chumikan,RU,54.7183,135.315,38.95,78,77,21.74,broken clouds
316,Rawah,IQ,34.4816,41.9093,79.05,21,76,6.82,broken clouds
317,Lata,PT,40.1629,-8.3327,75.49,43,100,3.24,overcast clouds
318,Macusani,PE,-14.0833,-70.4333,52.0,40,20,0.89,few clouds
319,Hailar,CN,49.2,119.7,35.22,54,0,6.96,clear sky
320,Cayenne,GF,4.9333,-52.3333,86.09,77,75,5.01,broken clouds
321,Ambilobe,MG,-13.2,49.05,80.49,71,61,2.57,broken clouds
322,San Cristobal,VE,7.7669,-72.225,77.18,61,71,5.39,broken clouds
323,Bangassou,CF,4.7413,22.8184,81.14,68,96,1.95,overcast clouds
324,Makakilo City,US,21.3469,-158.0858,75.52,73,1,3.44,clear sky
325,Deputatskiy,RU,69.3,139.9,-8.79,99,89,3.24,overcast clouds
326,Puerto Baquerizo Moreno,EC,-0.9,-89.6,74.39,69,75,11.5,broken clouds
327,Inta,RU,66.0317,60.1659,28.17,92,100,13.2,overcast clouds
328,Ejea De Los Caballeros,ES,42.1263,-1.1372,65.07,30,0,8.1,clear sky
329,Dixon,US,38.4455,-121.8233,56.43,88,1,6.91,clear sky
330,Hamilton,US,39.1834,-84.5333,55.65,85,40,1.01,scattered clouds
331,Puerto Leguizamo,CO,-0.1934,-74.7819,79.16,81,96,1.07,overcast clouds
332,Charters Towers,AU,-20.1,146.2667,71.69,80,20,6.46,few clouds
333,Bokoro,TD,12.3807,17.0568,100.49,15,62,10.65,broken clouds
334,Teguldet,RU,57.3064,88.1667,35.58,96,100,16.6,light rain
335,Anadyr,RU,64.75,177.4833,-3.98,96,81,10.25,broken clouds
336,Tay Ninh,VN,11.3,106.1,76.44,92,100,6.29,very heavy rain
337,Pangkalanbuun,ID,-2.6833,111.6167,75.51,95,78,0.94,broken clouds
